experiment,run_name,title,n,class_0_name,class_1_name,positive_class,tp,tn,fp,fn,accuracy,f1_macro,auroc,auprc,checkpoint_path,config_path,plot_path,generated_at,split,threshold,notes
cvfsnet_binary,cvfsnet_pt_binary_cor_v3,Coronal,150,T012a,T2b3,T2b3,64,69,11,6,0.886667,0.886541,0.916000,0.892000,/home/fshaikh/Projects/CVFSNet/output_runs_lightning/cvfsnet_pt_binary_cor_v3/csv/version_0/checkpoints/epoch=238.ckpt,/home/fshaikh/Projects/CVFSNet/output_runs_lightning/cvfsnet_pt_binary_cor_v3/resolved_training_config.yaml,/home/fshaikh/Projects/CVFSNet/plots/confusion_matrices_binary_runs_cvfsnet.png,2026-07-13T11:27:32.236076+00:00,val,0.5,early-stopped on val; select-on-eval bias
cvfsnet_binary,cvfsnet_pt_binary_sag_v3,Sagittal,150,T012a,T2b3,T2b3,58,67,13,12,0.833333,0.832731,0.890000,0.859000,/home/fshaikh/Projects/CVFSNet/output_runs_lightning/cvfsnet_pt_binary_sag_v3/csv/version_0/checkpoints/epoch=289.ckpt,/home/fshaikh/Projects/CVFSNet/output_runs_lightning/cvfsnet_pt_binary_sag_v3/resolved_training_config.yaml,/home/fshaikh/Projects/CVFSNet/plots/confusion_matrices_binary_runs_cvfsnet.png,2026-07-13T11:27:32.236076+00:00,val,0.5,early-stopped on val; select-on-eval bias
cvfsnet_binary,cvfsnet_pt_binary_fusion_v3,Fusion,150,T012a,T2b3,T2b3,65,71,9,5,0.906667,0.906517,0.928000,0.905000,/home/fshaikh/Projects/CVFSNet/output_runs_lightning/cvfsnet_pt_binary_fusion_v3/csv/version_0/checkpoints/epoch=257.ckpt,/home/fshaikh/Projects/CVFSNet/output_runs_lightning/cvfsnet_pt_binary_fusion_v3/resolved_training_config.yaml,/home/fshaikh/Projects/CVFSNet/plots/confusion_matrices_binary_runs_cvfsnet.png,2026-07-13T11:27:32.236076+00:00,val,0.5,early-stopped on val; select-on-eval bias
medgemma_qlora_binary,medgemma_qlora_val_ap,Coronal,150,T012a,T2b3,T2b3,57,47,33,13,0.693333,0.691964,0.803929,0.778871,/home/fshaikh/Projects/CVFSNet/output_runs_lightning/medgemma_qlora_val_ap/seed_14207/adapter (+ head.pt),/home/fshaikh/Projects/CVFSNet/output_runs_lightning/medgemma_qlora_val_ap/resolved_config.yaml,/home/fshaikh/Projects/CVFSNet/output_runs_lightning/medgemma_qlora_val_ap/val_seed14207_confusion_matrix.png,2026-07-13T21:45:09.730185+00:00,val,0.5,"QLoRA 4-bit, 29,810,177 trainable params; selected epoch 15 by val AUROC; early-stopped on val (select-on-eval bias). Tuned-threshold variant (0.9987) is fitted on these same studies and is NOT reported here."
medgemma_qlora_binary,medgemma_qlora_val_sag,Sagittal,150,T012a,T2b3,T2b3,56,60,20,14,0.773333,0.773172,0.844821,0.852357,/home/fshaikh/Projects/CVFSNet/output_runs_lightning/medgemma_qlora_val_sag/seed_14207/adapter (+ head.pt),/home/fshaikh/Projects/CVFSNet/output_runs_lightning/medgemma_qlora_val_sag/resolved_config.yaml,/home/fshaikh/Projects/CVFSNet/output_runs_lightning/medgemma_qlora_val_sag/val_seed14207_confusion_matrix.png,2026-07-13T21:45:09.730185+00:00,val,0.5,"QLoRA 4-bit, 29,810,177 trainable params; selected epoch 18 by val AUROC; early-stopped on val (select-on-eval bias). Tuned-threshold variant (0.5126) is fitted on these same studies and is NOT reported here."
medgemma_qlora_binary,medgemma_qlora_val_dual,Dual,150,T012a,T2b3,T2b3,56,59,21,14,0.766667,0.766573,0.856607,0.840248,/home/fshaikh/Projects/CVFSNet/output_runs_lightning/medgemma_qlora_val_dual/seed_14207/adapter (+ head.pt),/home/fshaikh/Projects/CVFSNet/output_runs_lightning/medgemma_qlora_val_dual/resolved_config.yaml,/home/fshaikh/Projects/CVFSNet/output_runs_lightning/medgemma_qlora_val_dual/val_seed14207_confusion_matrix.png,2026-07-13T21:45:09.730185+00:00,val,0.5,"QLoRA 4-bit, 29,810,177 trainable params; selected epoch 15 by val AUROC; early-stopped on val (select-on-eval bias). Tuned-threshold variant (0.8395) is fitted on these same studies and is NOT reported here."
medgemma_zero_shot_binary,medgemma_zero_shot_corrected__concise_v2__percentile_1_99,Dual (concise_v2),53,T012a,T2b3,T2b3,8,16,10,19,0.452830,0.440073,0.403134,0.450835,google/medgemma-1.5-4b-it@91850547d9f0b2fdd21aa7c5f4f3d1a8a52c243b (zero-shot: no trained weights),/home/fshaikh/Projects/CVFSNet/output_runs_lightning/medgemma_zero_shot_binary_tici_corrected/resolved_config.yaml,/home/fshaikh/Projects/CVFSNet/output_runs_lightning/medgemma_zero_shot_binary_tici_corrected/tuning__concise_v2__percentile_1_99_confusion_matrix.png,2026-07-13T21:45:09.730185+00:00,tuning,0.5,"NOT COMPARABLE to the val rows: n=53 tuning split, not the 150-study val split. No valid zero-shot run on val exists. SELECTED variant by the zero-shot tuning rule (f1_macro then auroc)."
medgemma_zero_shot_binary,medgemma_zero_shot_corrected__clinical_v1__percentile_1_99,Dual (clinical_v1),53,T012a,T2b3,T2b3,27,1,25,0,0.528302,0.378809,0.529915,0.532686,google/medgemma-1.5-4b-it@91850547d9f0b2fdd21aa7c5f4f3d1a8a52c243b (zero-shot: no trained weights),/home/fshaikh/Projects/CVFSNet/output_runs_lightning/medgemma_zero_shot_binary_tici_corrected/resolved_config.yaml,/home/fshaikh/Projects/CVFSNet/output_runs_lightning/medgemma_zero_shot_binary_tici_corrected/tuning__clinical_v1__percentile_1_99_confusion_matrix.png,2026-07-13T21:45:09.730185+00:00,tuning,0.5,"NOT COMPARABLE to the val rows: n=53 tuning split, not the 150-study val split. No valid zero-shot run on val exists. Prompt/scaling matched to the QLoRA runs, for a like-for-like zero-shot vs fine-tuned comparison."
